"stop_id","stop_name","stop_lat","stop_lon"
"BS_1100_100900153","사우디대사관","37.583860000","126.985250000"
"BS_1100_100900154","서울시교육청","37.569240000","126.966820000"
"BS_1100_100900155","김종영미술관","37.613260000","126.978110000"
"BS_1100_100900156","세검정교회","37.599560000","126.959470000"
"BS_1100_100900157","안국선원.삼거리","37.582740000","126.985220000"
"BS_1100_100900159","스위스대사관","37.569990000","126.965810000"
"BS_1100_100900160","보현빌라","37.615260000","126.978280000"
"BS_1100_100900161","하림각","37.597680000","126.962970000"
"BS_1100_100900162","북촌한옥마을입구.정세권활동터","37.581280000","126.985170000"
"BS_1100_100900163","숭인1동주민센터","37.577420000","127.015560000"
"BS_1100_100900164","월암공원","37.571190000","126.963990000"
"BS_1100_100900165","지구촌교회","37.613050000","126.979350000"
"BS_1100_100900166","부암슈퍼","37.594760000","126.963860000"
"BS_1100_100900167","볼링장","37.579260000","126.987960000"
"BS_1100_100900168","가회동주민센터","37.579940000","126.985130000"
"BS_1100_100900169","새마을금고","37.587840000","126.996570000"
"BS_1100_100900170","상명초등학교","37.600900000","126.956820000"
"BS_1100_100900171","서울국제고등학교","37.589070000","126.997140000"
"BS_1100_100900172","통일부","37.587530000","126.986110000"
"BS_1100_100900173","종로센트레빌후문.e편한세상보문아파트","37.581900000","127.016240000"
"BS_1100_100900174","국립민속박물관","37.579260000","126.979550000"
"BS_1100_100900177","경복궁역","37.577070000","126.972470000"
"BS_1100_100900178","삼청공원","37.588230000","126.981650000"
"BS_1100_100900179","법련사","37.576590000","126.979670000"
"BS_1100_100900180","엄마분식","37.601240000","126.955720000"
"BS_1100_100900181","부암동주민센터.무계원","37.592940000","126.963770000"
"BS_1100_100900182","구기터널입구","37.608200000","126.956780000"
"BS_1100_100900184","청구빌라","37.604610000","126.956980000"
"BS_1100_100900186","독립문역3번출구","37.572880000","126.959750000"
"BS_1100_100900187","신학대학교총회본부","37.573980000","126.963440000"
"BS_1100_100900188","적십자병원후문앞","37.567530000","126.965230000"
"BS_1100_100900189","안국역2번출구앞","37.577170000","126.986120000"
"BS_1100_100900191","종로5가역","37.570670000","127.000020000"
"BS_1100_100900192","동대문종합시장","37.571180000","127.006140000"
"BS_1100_100900198","성균관대학교앞","37.583260000","126.999340000"
"BS_1100_100900200","혜화동로터리","37.585920000","127.001000000"
"BS_1100_100900201","국민생활관","37.589630000","126.999310000"
"BS_1100_100900202","서울성곽.성대후문","37.589260000","126.989630000"
"BS_1100_100900203","성대후문.와룡공원","37.589150000","126.989730000"
"BS_1100_100900204","성균관대학교","37.588460000","126.990000000"
"BS_1100_100900205","동묘역","37.572690000","127.014250000"
"BS_1100_100900206","종로센트레빌아파트","37.580350000","127.015690000"
"BS_1100_100900207","창신초등학교","37.576900000","127.015390000"
"BS_1100_100900210","창신쌍용1단지.종로센트레빌아파트","37.580320000","127.015570000"
"BS_1100_100900211","종각.공평유적전시관","37.571590000","126.983240000"
"BS_1100_100900213","조계사","37.573600000","126.983140000"
"BS_1100_100900214","독립문역","37.573280000","126.959410000"
"BS_1100_100900215","교남동주민센터","37.572150000","126.961280000"
"BS_1100_100900217","종로1.2.3.4가동주민센터","37.574380000","126.991130000"
"BS_1100_101000001","남대문세무서.서울백병원","37.564980000","126.987530000"
"BS_1100_101000002","서울백병원.국가인권위.안중근활동터","37.564350000","126.987850000"
"BS_1100_101000003","서울역버스환승센터","37.555150000","126.972260000"
"BS_1100_101000004","서울역버스환승센터","37.555450000","126.972360000"
"BS_1100_101000005","서울역버스환승센터","37.555390000","126.972760000"
"BS_1100_101000006","서울역버스환승센터","37.555480000","126.972850000"
"BS_1100_101000007","서울역버스환승센터.강우규의거터","37.555610000","126.972970000"
"BS_1100_101000008","숭례문","37.558640000","126.973780000"
"BS_1100_101000009","만리동고개","37.551790000","126.962660000"
"BS_1100_101000010","손기정체육공원입구","37.554450000","126.966230000"
"BS_1100_101000011","서울의료보건고등학교.서울역서부","37.556170000","126.968790000"
"BS_1100_101000012","서울역서부","37.556330000","126.969380000"
"BS_1100_101000013","서울역서부","37.557000000","126.969280000"
"BS_1100_101000014","중림동교차로","37.558380000","126.969140000"
"BS_1100_101000015","종근당.충정로역","37.559510000","126.964480000"
"BS_1100_101000016","한국경제신문사.서소문역사공원","37.560210000","126.967870000"
"BS_1100_101000017","한국경제신문사.서소문역사공원","37.560620000","126.968110000"
"BS_1100_101000018","경찰청.동북아역사재단","37.563050000","126.969130000"
"BS_1100_101000020","서대문경찰서.농협은행.유관순활동터","37.564910000","126.967790000"
"BS_1100_101000021","염천교","37.559860000","126.973360000"
"BS_1100_101000022","숭례문","37.558300000","126.973290000"
"BS_1100_101000023","숭례문.한국일보","37.558770000","126.973740000"
"BS_1100_101000025","후암삼거리","37.553340000","126.976080000"
"BS_1100_101000026","숭례문","37.558760000","126.974360000"
"BS_1100_101000027","숭례문","37.558420000","126.974040000"
"BS_1100_101000028","숭례문","37.558000000","126.973630000"
"BS_1100_101000029","남대문시장악세사리전문상가","37.558610000","126.976210000"
"BS_1100_101000030","숭례문남산방향","37.558560000","126.975670000"
"BS_1100_101000031","남대문시장","37.561190000","126.980060000"
"BS_1100_101000032","북창동.남대문시장","37.561180000","126.977920000"
"BS_1100_101000033","시청앞","37.562360000","126.976570000"
"BS_1100_101000034","삼성본관앞","37.562050000","126.975910000"
"BS_1100_101000035","시청앞","37.562760000","126.976150000"
"BS_1100_101000036","서소문","37.563210000","126.974890000"
"BS_1100_101000038","시청.서소문청사","37.563520000","126.974950000"
"BS_1100_101000039","서울신문사","37.568360000","126.977360000"
"BS_1100_101000040","우리은행종로지점","37.567520000","126.982930000"
"BS_1100_101000041","롯데백화점","37.564490000","126.982060000"
"BS_1100_101000042","해운센터.롯데영프라자","37.562890000","126.981550000"
"BS_1100_101000043","롯데영프라자","37.562890000","126.982010000"
"BS_1100_101000045","신세계앞","37.560850000","126.981530000"
"BS_1100_101000046","남대문시장.회현역","37.558270000","126.977770000"
"BS_1100_101000047","남대문시장.회현역","37.558490000","126.978460000"
"BS_1100_101000048","남산3호터널","37.558460000","126.982670000"
"BS_1100_101000049","남산3호터널.서울애니메이션센터","37.559530000","126.982640000"
"BS_1100_101000050","명동입구","37.560650000","126.985240000"
"BS_1100_101000051","퇴계로2가.명동역","37.560890000","126.984490000"
"BS_1100_101000052","퇴계로3가.한옥마을.한국의집","37.561250000","126.991780000"
"BS_1100_101000053","퇴계로3가.한옥마을.한국의집","37.560970000","126.992170000"
"BS_1100_101000054","충무로역2번출구.대한극장앞","37.561220000","126.994920000"
"BS_1100_101000055","충무로역8번출구.대한극장앞","37.562040000","126.996490000"
"BS_1100_101000056","초동","37.563350000","126.993110000"
"BS_1100_101000057","을지로입구.로얄호텔","37.565880000","126.985390000"
"BS_1100_101000058","을지로입구.시청입구","37.566140000","126.981170000"
"BS_1100_101000059","을지로2가.기업은행본점.서울노동청","37.566250000","126.986520000"
"BS_1100_101000060","을지로2가.파인에비뉴","37.566010000","126.988830000"
